Hedge Ratio,Mean,Max,Min,StdDev
0,0,0,0,0
0.05,2.27E-05,8.75E-05,-3.84E-05,2.18E-05
0.1,4.45E-05,0.00019129,-9.29E-05,4.46E-05
0.15,6.60E-05,0.000287862,-0.000143843,6.65E-05
0.2,8.57E-05,0.000383474,-0.000217959,8.88E-05
0.25,0.000102426,0.000483832,-0.000270135,0.000108526
0.3,0.000121371,0.000569613,-0.000336117,0.000132379
0.35,0.000132716,0.000795437,-0.000409811,0.000152176
0.4,0.000162567,0.000801509,-0.000373228,0.000173259
0.45,0.000167645,0.000823024,-0.000394579,0.000195089
0.5,0.000175815,0.000936318,-0.000465342,0.000213744
0.55,0.000193943,0.001000244,-0.000600759,0.000235121
0.6,0.000214027,0.001199667,-0.000663401,0.000261352
0.65,0.000204695,0.001131129,-0.000831845,0.000278908
0.7,0.000216596,0.00128026,-0.000677548,0.000312408
0.75,0.000206229,0.001326001,-0.000892794,0.000337749
0.8,0.000234645,0.001552404,-0.001180144,0.000346798
0.85,0.000234349,0.001519243,-0.000994358,0.000361024
0.9,0.000229579,0.001448146,-0.001021221,0.00038528
0.95,0.000256459,0.001573031,-0.00115052,0.000415228
1,0.000222216,0.001768191,-0.001052259,0.000417462
